Locality Name,Post Code,Municipality Name
Abbeyard,3737,Alpine Shire Council
Abbotsford,3067,Yarra City Council
Aberfeldie,3040,Moonee Valley City Council
Aberfeldy,3825,Baw Baw Shire Council
Acheron,3714,Murrindindi Shire Council
Adams Estate,3984,Bass Coast Shire Council
Addington,3352,Ballarat City Council
Adelaide Lead,3465,Central Goldfields Shire Council
Agnes,3962,South Gippsland Shire Council
Aintree,3336,Melton City Council
Aireys Inlet,3231,Surf Coast Shire Council
Airly,3851,Wellington Shire Council
Airport West,3042,Moonee Valley City Council
Albanvale,3021,Brimbank City Council
Albert Park,3206,Port Phillip City Council
Alberton,3971,Wellington Shire Council
Alberton West,3971,Wellington Shire Council
Albion,3020,Brimbank City Council
Alexandra,3714,Murrindindi Shire Council
Alfredton,3350,Ballarat City Council
Allambee,3823,Baw Baw Shire Council
Allambee Reserve,3871,Baw Baw Shire Council
Allambee Reserve,3871,South Gippsland Shire Council
Allambee South,3871,South Gippsland Shire Council
Allans Flat,3691,Indigo Shire Council
Allansford,3277,Moyne Shire Council
Allansford,3277,Warrnambool City Council
Allendale,3364,Hepburn Shire Council
Allestree,3305,Glenelg Shire Council
Alma,3465,Central Goldfields Shire Council
Almonds,3727,Moira Shire Council
Almurta,3979,Bass Coast Shire Council
Alphington,3078,Darebin City Council
Alphington,3078,Yarra City Council
Altona,3018,Hobsons Bay City Council
Altona Meadows,3028,Hobsons Bay City Council
Altona North,3025,Hobsons Bay City Council
Alvie,3249,Colac Otway Shire Council
Amherst,3371,Central Goldfields Shire Council
Amor,3825,Baw Baw Shire Council
Amphitheatre,3468,Pyrenees Shire Council
Anakie,3213,Golden Plains Shire Council
Anakie,3213,Greater Geelong City Council
Ancona,3715,Mansfield Shire Council
Anderson,3995,Bass Coast Shire Council
Anglers Rest,3898,East Gippsland Shire Council
Anglesea,3230,Surf Coast Shire Council
Annuello,3549,Swan Hill Rural City Council
Antwerp,3414,Hindmarsh Shire Council
Apollo Bay,3233,Colac Otway Shire Council
Appin,3579,Gannawarra Shire Council
Appin South,3579,Gannawarra Shire Council
Appin South,3579,Loddon Shire Council
Apsley,3319,West Wimmera Shire Council
Arapiles,3409,Horsham Rural City Council
Ararat,3377,Ararat Rural City Council
Arawata,3951,South Gippsland Shire Council
Arcadia,3631,Greater Shepparton City Council
Arcadia South,3631,Strathbogie Shire Council
Archdale,3475,Central Goldfields Shire Council
Archdale,3475,Northern Grampians Shire Council
Archdale Junction,3475,Central Goldfields Shire Council
Archerton,3723,Benalla Rural City Council
Archerton,3723,Wangaratta Rural City Council
Archies Creek,3995,Bass Coast Shire Council
Ardeer,3022,Brimbank City Council
Ardmona,3629,Greater Shepparton City Council
Areegra,3480,Yarriambiack Shire Council
Argyle,3523,Greater Bendigo City Council
Armadale,3143,Stonnington City Council
Armstrong,3377,Ararat Rural City Council
Armstrong Creek,3217,Greater Geelong City Council
Arnold,3551,Loddon Shire Council
Arnold West,3551,Loddon Shire Council
Arthurs Creek,3099,Nillumbik Shire Council
Arthurs Seat,3936,Mornington Peninsula Shire Council
Ascot,3364,Ballarat City Council
Ascot,3551,Greater Bendigo City Council
Ascot Vale,3032,Moonee Valley City Council
Ashbourne,3442,Macedon Ranges Shire Council
Ashburton,3147,Boroondara City Council
Ashwood,3147,Monash City Council
Aspendale,3195,Kingston City Council
Aspendale Gardens,3195,Kingston City Council
Athlone,3818,Baw Baw Shire Council
Attwood,3049,Hume City Council
Aubrey,3393,Yarriambiack Shire Council
Auchmore,3570,Loddon Shire Council
Avalon,3212,Greater Geelong City Council
Avenel,3664,Mitchell Shire Council
